City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Butaritari,KI,82.56,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Hithadhoo,MV,80.26,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Rikitea,PF,76.12,light rain,-23.1203,-134.9692,People ThankYou
20,Santa Rita,BR,79.47,few clouds,-7.1139,-34.9781,Infinity Motel
23,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Kavieng,PG,84.0,light rain,-2.5744,150.7967,Nusa Island Retreat
27,Atuona,PF,79.25,overcast clouds,-9.8,-139.0333,Villa Enata
31,Pangai,TO,80.8,clear sky,-19.8,-174.35,Ha'apai Beach Resort
32,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Koumac,NC,83.32,overcast clouds,-20.5667,164.2833,Le Monitel
38,Punta Cardon,VE,77.83,clear sky,11.6581,-70.215,Bambuda hotel
40,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
44,Faanui,PF,80.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
48,Catamarca,AR,82.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
49,Arraial Do Cabo,BR,74.01,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Mumford,GH,79.3,broken clouds,5.2618,-0.759,Spanish Villa
55,Bathsheba,BB,79.12,overcast clouds,13.2167,-59.5167,Atlantis Hotel
56,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
63,Lucea,JM,77.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
66,Reyes,BO,74.53,overcast clouds,-14.3167,-67.3833,
72,Victoria,HK,77.97,clear sky,22.2855,114.1577,Mini Hotel Central
73,Campoverde,PE,78.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
77,Nishihara,JP,76.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
85,Bandarbeyla,SO,77.68,light rain,9.4942,50.8122,JABIR HOTEL
86,Aquin,HT,75.11,clear sky,18.2833,-73.4,Asheev Beach
96,Grand Gaube,MU,82.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
100,Kieta,PG,85.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
101,Razole,IN,82.69,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
112,Saint-Philippe,RE,83.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Taree,AU,77.05,scattered clouds,-31.9,152.4667,All Seasons Country Lodge Taree
119,Tubuala,PA,78.33,broken clouds,9.5167,-79.0333,Río Nabagana
120,Vao,NC,79.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
129,Gold Coast,AU,82.38,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
130,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
131,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
135,Xai-Xai,MZ,79.66,few clouds,-25.0519,33.6442,Complexo da Familia
138,Aloleng,PH,86.49,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
149,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
153,Sao Filipe,CV,74.39,broken clouds,14.8961,-24.4956,Hotel Xaguate
155,Poum,NC,82.17,light rain,-20.2333,164.0167,Gîte kajeon
156,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Veraval,IN,77.07,clear sky,20.9,70.3667,Lords Inn Somnath
181,Balikpapan,ID,85.59,overcast clouds,-1.2675,116.8289,ibis Balikpapan
184,Kudahuvadhoo,MV,79.48,light rain,2.6708,72.8944,Niyama Private Islands Maldives
186,Bengkulu,ID,76.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Codrington,AU,74.43,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
202,Kawalu,ID,87.28,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
204,Escarcega,MX,76.87,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
208,Formosa,AR,75.9,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
209,Vanimo,PG,85.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Nueva Italia,PY,78.03,broken clouds,-25.6167,-57.5,Quinta Che Jazmín
211,Bariri,BR,74.95,broken clouds,-22.0744,-48.7403,San Francisco Hotel
217,Coxim,BR,80.4,overcast clouds,-18.5067,-54.76,Hotel Avenida
221,Noumea,NC,87.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
226,Mbandaka,CD,74.97,overcast clouds,0.0487,18.2603,Guest House Epervier
230,Cape Coast,GH,79.39,broken clouds,5.1053,-1.2466,Samrit Hotel
241,Aitape,PG,86.11,overcast clouds,-3.1374,142.3475,
244,Dingle,PH,83.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
245,Saint-Pierre,RE,83.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
249,Coruripe,BR,77.79,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
251,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Luanda,AO,76.3,moderate rain,-8.8368,13.2343,Hotel Fórum
255,Olutanga,PH,82.53,overcast clouds,7.3106,122.8464,Morales Lodge
256,Balabac,PH,82.33,moderate rain,7.9868,117.0645,Sing and Swing Lodge
257,Sola,VU,78.91,overcast clouds,-13.8833,167.55,Leumerus Bungalows
261,Koungou,YT,82.11,broken clouds,-12.7336,45.2042,Villa Netibor
266,Chiang Klang,TH,77.43,overcast clouds,19.2938,100.8617,Sangthong Resort
267,Mormugao,IN,80.55,few clouds,15.4,73.8,Coconut Creek Resort
270,Basco,PH,76.84,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
277,Lorengau,PG,85.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
282,Mersing,MY,80.98,light rain,2.4312,103.8405,Timotel Hotel
284,Meulaboh,ID,84.85,few clouds,4.1363,96.1285,Kost Pria
289,Nimaparha,IN,75.27,clear sky,20.0667,86.0167,Maa Karanjai Sweet And Hotel 🏨
292,Quatre Cocos,MU,82.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
293,Nieuw Amsterdam,SR,77.16,overcast clouds,5.8833,-55.0833,Hotel Stardust
301,Kuala Terengganu,MY,81.0,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
313,Moa,CU,78.49,scattered clouds,20.6569,-74.9403,Carmen
315,Kavaratti,IN,82.06,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
326,Kampot,KH,86.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
327,Pailon,BO,76.1,moderate rain,-17.65,-62.75,Alojamiento pailon
338,Hobyo,SO,78.42,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
341,San Juan,AR,80.28,clear sky,-31.5375,-68.5364,Hotel Provincial
344,Cozumel,MX,77.11,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
348,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
351,Labuhan,ID,87.15,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
359,Rio De Janeiro,BR,77.0,scattered clouds,-22.9028,-43.2075,Hotel Málaga
361,Sugod,PH,80.15,overcast clouds,12.987,124.0805,Musngi Garage
363,Mae Ramat,TH,82.72,clear sky,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
365,Chon Daen,TH,82.81,clear sky,16.1895,100.8596,ซับขลุง
366,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
369,Umuarama,BR,75.96,overcast clouds,-23.7664,-53.325,HOTEL CAIUÁ
370,Santa Ines,BR,75.87,moderate rain,-3.6667,-45.38,Palace hotel
380,Del Gallego,PH,82.18,overcast clouds,13.9223,122.5954,Veluz Garden Hotel
385,Cumana,VE,77.09,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
386,Nova Olimpia,BR,74.39,light rain,-14.7972,-57.2881,Motel glamour
388,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Hotel Central
389,Benguela,AO,77.14,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
391,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
394,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
395,Kwinana,AU,76.3,clear sky,-32.25,115.7667,Rockingham Apartments
400,Anyama,CI,79.61,scattered clouds,5.4946,-4.0518,Hotel la Residence des Hotes
401,Sinnamary,GF,77.18,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
404,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
406,Port Lincoln,AU,83.43,light rain,-34.7333,135.8667,Port Lincoln Hotel
408,Moron,AR,75.02,clear sky,-34.6534,-58.6198,Hotel Morón
412,Thinadhoo,MV,80.65,scattered clouds,0.5333,72.9333,
417,Trairi,BR,80.33,few clouds,-3.2778,-39.2689,janelas do mar
423,Ambanja,MG,76.03,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
426,Port Blair,IN,83.34,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
431,Samarai,PG,85.91,broken clouds,-10.6167,150.6667,Nuli Sapi
444,Atambua,ID,84.56,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
445,Eyl,SO,76.6,few clouds,7.9803,49.8164,Amiin Hotel
446,Banjar,ID,87.66,broken clouds,-8.19,114.9675,The Hamsa Resort
451,Voh,NC,82.2,light rain,-20.9667,164.7,Le gîte du Koniambo
453,Mayakonda,IN,74.07,broken clouds,14.2833,76.0833,
455,Morondava,MG,82.35,broken clouds,-20.2833,44.2833,La Case Bambou
457,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
