City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Clyde River,CA,70.4692,-68.5914,-17.19,96,26,4.09,scattered clouds
1,Severo-Kurilsk,RU,50.6789,156.125,32.76,96,100,24.14,snow
2,Havelock,US,34.8791,-76.9013,68.99,92,95,10.0,overcast clouds
3,Butaritari,KI,3.0707,172.7902,82.56,72,100,17.83,overcast clouds
4,Kodiak,US,57.79,-152.4072,9.91,56,1,42.57,clear sky
5,Hithadhoo,MV,-0.6,73.0833,80.26,79,93,7.47,overcast clouds
6,Busselton,AU,-33.65,115.3333,69.04,37,14,11.05,few clouds
7,Lasa,IT,46.6166,10.7002,24.62,84,34,8.59,scattered clouds
8,Hobart,AU,-42.8794,147.3294,72.01,46,75,5.99,broken clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-6.09,93,100,11.79,overcast clouds
10,Jamestown,US,42.097,-79.2353,37.71,71,90,18.01,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,57.47,33,0,3.42,clear sky
12,Minot,US,48.2325,-101.2963,35.82,51,1,16.11,clear sky
13,Rawson,AR,-43.3002,-65.1023,67.44,28,3,17.6,clear sky
14,Ushuaia,AR,-54.8,-68.3,49.66,76,75,5.75,broken clouds
15,Chuy,UY,-33.6971,-53.4616,60.67,88,1,6.04,clear sky
16,Kapaa,US,22.0752,-159.319,78.78,75,75,1.99,broken clouds
17,Nikolskoye,RU,59.7035,30.7861,25.39,91,100,7.27,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,76.12,78,60,13.2,light rain
19,Punta Arenas,CL,-53.15,-70.9167,50.11,81,0,5.75,clear sky
20,Santa Rita,BR,-7.1139,-34.9781,79.47,83,20,4.61,few clouds
21,Bredasdorp,ZA,-34.5322,20.0403,57.27,75,96,2.53,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,71.65,29,3,5.68,clear sky
23,Carnarvon,AU,-24.8667,113.6333,80.67,36,0,26.46,clear sky
24,Bluff,NZ,-46.6,168.3333,57.79,62,2,17.43,clear sky
25,Kavieng,PG,-2.5744,150.7967,84.0,76,100,7.54,light rain
26,Shenandoah,US,30.4013,-91.0009,55.89,72,100,1.99,overcast clouds
27,Atuona,PF,-9.8,-139.0333,79.25,73,87,17.0,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,60.91,73,100,2.3,overcast clouds
29,Saldanha,ZA,-33.0117,17.9442,61.47,83,100,2.46,overcast clouds
30,Half Moon Bay,US,37.4636,-122.4286,51.87,84,1,0.0,clear sky
31,Pangai,TO,-19.8,-174.35,80.8,72,4,6.53,clear sky
32,Hilo,US,19.7297,-155.09,74.93,40,40,4.61,light rain
33,Khash,IR,28.2211,61.2158,49.5,23,5,4.14,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,66.09,79,98,3.49,overcast clouds
35,Koumac,NC,-20.5667,164.2833,83.32,71,100,4.05,overcast clouds
36,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,75,40,20.71,scattered clouds
37,Albany,US,42.6001,-73.9662,46.76,67,100,14.0,overcast clouds
38,Punta Cardon,VE,11.6581,-70.215,77.83,80,5,15.93,clear sky
39,Kanker,IN,20.2719,81.4931,72.34,47,38,3.91,scattered clouds
40,Avarua,CK,-21.2078,-159.775,78.85,73,20,16.11,few clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,66.87,91,67,21.99,broken clouds
42,Castro,BR,-24.7911,-50.0119,67.89,53,100,2.08,overcast clouds
43,Gotsu,JP,35.0,132.2167,55.53,64,96,17.2,overcast clouds
44,Faanui,PF,-16.4833,-151.75,80.47,72,75,6.38,light rain
45,Bombay,IN,19.0144,72.8479,80.58,57,40,3.44,haze
46,Talnakh,RU,69.4865,88.3972,-23.8,82,99,1.68,overcast clouds
47,Beyneu,KZ,45.3167,55.2,27.3,70,3,8.68,clear sky
48,Catamarca,AR,-28.4696,-65.7852,82.78,52,0,10.0,clear sky
49,Arraial Do Cabo,BR,-22.9661,-42.0278,74.01,94,96,18.99,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,73.6,80,81,5.79,broken clouds
51,Mumford,GH,5.2618,-0.759,79.3,84,74,4.56,broken clouds
52,Les Cayes,HT,18.2,-73.75,73.9,82,0,4.0,clear sky
53,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,100,1.99,overcast clouds
54,Xining,CN,36.6167,101.7667,21.96,54,28,1.95,scattered clouds
55,Bathsheba,BB,13.2167,-59.5167,79.12,81,100,18.43,overcast clouds
56,Salalah,OM,17.0151,54.0924,77.09,33,0,12.66,clear sky
57,Cape Town,ZA,-33.9258,18.4232,63.09,83,100,4.36,overcast clouds
58,Geraldton,AU,-28.7667,114.6,77.41,41,8,21.85,clear sky
59,Barrow,US,71.2906,-156.7887,-5.78,77,1,11.5,clear sky
60,Lubaczow,PL,50.157,23.1234,34.29,97,100,8.19,overcast clouds
61,Sestri Levante,IT,44.2732,9.3968,47.61,53,0,4.0,clear sky
62,Port Alfred,ZA,-33.5906,26.891,68.65,89,99,4.97,light rain
63,Lucea,JM,18.451,-78.1736,77.86,78,4,5.91,clear sky
64,Springdale,US,36.1867,-94.1288,35.82,75,1,5.75,clear sky
65,Cherskiy,RU,68.75,161.3,-45.8,99,39,3.06,scattered clouds
66,Reyes,BO,-14.3167,-67.3833,74.53,95,100,2.24,overcast clouds
67,Dunda,TZ,-8.1167,34.25,67.05,76,28,1.39,scattered clouds
68,Sakakah,SA,29.9697,40.2064,52.84,47,88,7.34,overcast clouds
69,Iqaluit,CA,63.7506,-68.5145,-7.31,69,67,4.0,broken clouds
70,Griffith,US,41.5284,-87.4237,35.06,76,1,1.01,clear sky
71,Shenkursk,RU,62.1091,42.896,11.26,85,97,8.81,overcast clouds
72,Victoria,HK,22.2855,114.1577,77.97,68,0,5.99,clear sky
73,Campoverde,PE,-8.4753,-74.8058,78.49,79,98,2.89,overcast clouds
